fecha,sku,demanda_unidades,precio_clp,insumo_critico,promocion,indice_estres_insumos,lead_time_dias,inventario_unidades,quiebre_stock,dia_semana,mes,año,procedencia_primaria,precio_unitario_primario_clp,procedencia_secundaria,precio_unitario_secundario_clp
2021-01-15,NotMilk,1113,1770,proteina de arveja,0,0.045,33,2736,0,4,1,2021,Canada,1639,Estados Unidos,2553
2021-01-16,NotMilk,1072,1770,proteina de arveja,0,0.21,37,1623,0,5,1,2021,Canada,1639,Estados Unidos,2553
2021-01-17,NotMilk,960,1770,proteina de arveja,0,0.17,35,551,0,6,1,2021,Canada,1639,Estados Unidos,2553
2021-01-18,NotMilk,909,1770,proteina de arveja,0,0.271,34,0,1,0,1,2021,Canada,1639,Estados Unidos,2553
2021-01-19,NotMilk,738,1770,proteina de arveja,0,0.188,34,0,1,1,1,2021,Canada,1639,Estados Unidos,2553
2021-01-20,NotMilk,961,1770,proteina de arveja,0,0.124,31,0,1,2,1,2021,Canada,1639,Estados Unidos,2553
2021-01-21,NotMilk,1002,1770,proteina de arveja,0,0.178,34,0,1,3,1,2021,Canada,1639,Estados Unidos,2553
2021-01-22,NotMilk,1031,1770,proteina de arveja,0,0.124,36,0,1,4,1,2021,Canada,1639,Estados Unidos,2553
2021-01-23,NotMilk,1085,1770,proteina de arveja,0,0.197,36,0,1,5,1,2021,Canada,1639,Estados Unidos,2553
2021-01-24,NotMilk,1122,1770,proteina de arveja,0,0.185,37,0,1,6,1,2021,Canada,1639,Estados Unidos,2553
2021-01-25,NotMilk,859,1770,proteina de arveja,0,0.216,34,0,1,0,1,2021,Canada,1639,Estados Unidos,2553
2021-01-26,NotMilk,876,1770,proteina de arveja,0,0.126,36,0,1,1,1,2021,Canada,1639,Estados Unidos,2553
2021-01-27,NotMilk,865,1770,proteina de arveja,0,0.165,34,0,1,2,1,2021,Canada,1639,Estados Unidos,2553
2021-01-28,NotMilk,1113,1770,proteina de arveja,0,0.093,36,0,1,3,1,2021,Canada,1639,Estados Unidos,2553
2021-01-29,NotMilk,1210,1770,proteina de arveja,0,0.194,34,0,1,4,1,2021,Canada,1639,Estados Unidos,2553
2021-01-30,NotMilk,1307,1770,proteina de arveja,0,0.183,36,0,1,5,1,2021,Canada,1639,Estados Unidos,2553
2021-01-31,NotMilk,1017,1770,proteina de arveja,0,0.18,37,0,1,6,1,2021,Canada,1639,Estados Unidos,2553
2021-02-01,NotMilk,956,1770,proteina de arveja,0,0.154,33,0,1,0,2,2021,Canada,1639,Estados Unidos,2553
2021-02-02,NotMilk,868,1770,proteina de arveja,0,0.174,35,0,1,1,2,2021,Canada,1639,Estados Unidos,2553
2021-02-03,NotMilk,1403,1770,proteina de arveja,1,0.232,37,0,1,2,2,2021,Canada,1639,Estados Unidos,2553
2021-02-04,NotMilk,1345,1770,proteina de arveja,1,0.137,33,0,1,3,2,2021,Canada,1639,Estados Unidos,2553
2021-02-05,NotMilk,1228,1770,proteina de arveja,0,0.157,31,0,1,4,2,2021,Canada,1639,Estados Unidos,2553
2021-02-06,NotMilk,1132,1770,proteina de arveja,0,0.096,37,20022,0,5,2,2021,Canada,1639,Estados Unidos,2553
2021-02-07,NotMilk,1036,1770,proteina de arveja,0,0.107,32,18890,0,6,2,2021,Canada,1639,Estados Unidos,2553
2021-02-08,NotMilk,923,1770,proteina de arveja,0,0.155,34,39104,0,0,2,2021,Canada,1639,Estados Unidos,2553
2021-02-09,NotMilk,886,1770,proteina de arveja,0,0.205,37,38181,0,1,2,2021,Canada,1639,Estados Unidos,2553
2021-02-10,NotMilk,928,1770,proteina de arveja,0,0.138,32,58545,0,2,2,2021,Canada,1639,Estados Unidos,2553
2021-02-11,NotMilk,1088,1770,proteina de arveja,0,0.14,32,57617,0,3,2,2021,Canada,1639,Estados Unidos,2553
2021-02-12,NotMilk,1315,1770,proteina de arveja,0,0.132,34,99029,0,4,2,2021,Canada,1639,Estados Unidos,2553
2021-02-13,NotMilk,1250,1770,proteina de arveja,0,0.127,30,118964,0,5,2,2021,Canada,1639,Estados Unidos,2553
2021-02-14,NotMilk,1122,1770,proteina de arveja,0,0.169,33,160214,0,6,2,2021,Canada,1639,Estados Unidos,2553
2021-02-15,NotMilk,889,1770,proteina de arveja,0,0.081,33,159092,0,0,2,2021,Canada,1639,Estados Unidos,2553
2021-02-16,NotMilk,812,1770,proteina de arveja,0,0.222,34,158203,0,1,2,2021,Canada,1639,Estados Unidos,2553
2021-02-17,NotMilk,1014,1770,proteina de arveja,0,0.126,30,199891,0,2,2,2021,Canada,1639,Estados Unidos,2553
2021-02-18,NotMilk,1151,1770,proteina de arveja,0,0.198,38,198877,0,3,2,2021,Canada,1639,Estados Unidos,2553
2021-02-19,NotMilk,1313,1770,proteina de arveja,0,0.1,33,218976,0,4,2,2021,Canada,1639,Estados Unidos,2553
2021-02-20,NotMilk,1450,1770,proteina de arveja,1,0.2,37,238913,0,5,2,2021,Canada,1639,Estados Unidos,2553
2021-02-21,NotMilk,1035,1770,proteina de arveja,0,0.203,34,279963,0,6,2,2021,Canada,1639,Estados Unidos,2553
2021-02-22,NotMilk,1047,1770,proteina de arveja,1,0.191,33,321428,0,0,2,2021,Canada,1639,Estados Unidos,2553
2021-02-23,NotMilk,850,1770,proteina de arveja,0,0.125,34,320381,0,1,2,2021,Canada,1639,Estados Unidos,2553
2021-02-24,NotMilk,1021,1770,proteina de arveja,0,0.191,34,340781,0,2,2,2021,Canada,1639,Estados Unidos,2553
2021-02-25,NotMilk,1390,1770,proteina de arveja,1,0.122,31,339760,0,3,2,2021,Canada,1639,Estados Unidos,2553
2021-02-26,NotMilk,1238,1770,proteina de arveja,0,0.172,37,338370,0,4,2,2021,Canada,1639,Estados Unidos,2553
2021-02-27,NotMilk,1150,1770,proteina de arveja,0,0.24,34,358382,0,5,2,2021,Canada,1639,Estados Unidos,2553
2021-02-28,NotMilk,1084,1770,proteina de arveja,0,0.232,31,399732,0,6,2,2021,Canada,1639,Estados Unidos,2553
2021-03-01,NotMilk,843,1770,proteina de arveja,0,0.197,37,398648,0,0,3,2021,Canada,1639,Estados Unidos,2553
2021-03-02,NotMilk,885,1770,proteina de arveja,0,0.152,33,440305,0,1,3,2021,Canada,1639,Estados Unidos,2553
2021-03-03,NotMilk,720,1770,proteina de arveja,0,0.237,34,460670,0,2,3,2021,Canada,1639,Estados Unidos,2553
2021-03-04,NotMilk,1064,1770,proteina de arveja,0,0.21,31,481200,0,3,3,2021,Canada,1639,Estados Unidos,2553
2021-03-05,NotMilk,1025,1770,proteina de arveja,0,0.098,37,501386,0,4,3,2021,Canada,1639,Estados Unidos,2553
2021-03-06,NotMilk,1280,1770,proteina de arveja,0,0.258,33,521611,0,5,3,2021,Canada,1639,Estados Unidos,2553
2021-03-07,NotMilk,1122,1770,proteina de arveja,0,0.222,35,541581,0,6,3,2021,Canada,1639,Estados Unidos,2553
2021-03-08,NotMilk,962,1770,proteina de arveja,0,0.289,37,561709,0,0,3,2021,Canada,1639,Estados Unidos,2553
2021-03-09,NotMilk,985,1770,proteina de arveja,0,0.179,35,624497,0,1,3,2021,Canada,1639,Estados Unidos,2553
2021-03-10,NotMilk,874,1770,proteina de arveja,0,0.08,33,623512,0,2,3,2021,Canada,1639,Estados Unidos,2553
2021-03-11,NotMilk,1611,1770,proteina de arveja,1,0.258,32,622638,0,3,3,2021,Canada,1639,Estados Unidos,2553
2021-03-12,NotMilk,1264,1770,proteina de arveja,0,0.264,34,642277,0,4,3,2021,Canada,1639,Estados Unidos,2553
2021-03-13,NotMilk,1143,1770,proteina de arveja,0,0.171,34,641013,0,5,3,2021,Canada,1639,Estados Unidos,2553
2021-03-14,NotMilk,1149,1770,proteina de arveja,0,0.212,33,639870,0,6,3,2021,Canada,1639,Estados Unidos,2553
2021-03-15,NotMilk,843,1770,proteina de arveja,0,0.404,37,638721,0,0,3,2021,Canada,1639,Estados Unidos,2553
2021-03-16,NotMilk,818,1770,proteina de arveja,0,0.257,36,637878,0,1,3,2021,Canada,1639,Estados Unidos,2553
2021-03-17,NotMilk,897,1770,proteina de arveja,0,0.314,38,637060,0,2,3,2021,Canada,1639,Estados Unidos,2553
2021-03-18,NotMilk,1029,1770,proteina de arveja,0,0.251,33,636163,0,3,3,2021,Canada,1639,Estados Unidos,2553
2021-03-19,NotMilk,1072,1770,proteina de arveja,0,0.185,39,635134,0,4,3,2021,Canada,1639,Estados Unidos,2553
2021-03-20,NotMilk,1273,1770,proteina de arveja,0,0.287,37,634062,0,5,3,2021,Canada,1639,Estados Unidos,2553
2021-03-21,NotMilk,1027,1770,proteina de arveja,0,0.288,35,632789,0,6,3,2021,Canada,1639,Estados Unidos,2553
2021-03-22,NotMilk,946,1770,proteina de arveja,0,0.287,38,631762,0,0,3,2021,Canada,1639,Estados Unidos,2553
2021-03-23,NotMilk,831,1770,proteina de arveja,0,0.308,40,630816,0,1,3,2021,Canada,1639,Estados Unidos,2553
2021-03-24,NotMilk,800,1770,proteina de arveja,0,0.332,33,629985,0,2,3,2021,Canada,1639,Estados Unidos,2553
2021-03-25,NotMilk,1091,1770,proteina de arveja,0,0.318,35,629185,0,3,3,2021,Canada,1639,Estados Unidos,2553
2021-03-26,NotMilk,985,1770,proteina de arveja,0,0.268,30,628094,0,4,3,2021,Canada,1639,Estados Unidos,2553
2021-03-27,NotMilk,1145,1770,proteina de arveja,0,0.362,37,627109,0,5,3,2021,Canada,1639,Estados Unidos,2553
2021-03-28,NotMilk,927,1770,proteina de arveja,0,0.246,36,625964,0,6,3,2021,Canada,1639,Estados Unidos,2553
2021-03-29,NotMilk,1058,1770,proteina de arveja,0,0.247,35,625037,0,0,3,2021,Canada,1639,Estados Unidos,2553
2021-03-30,NotMilk,927,1770,proteina de arveja,0,0.392,35,623979,0,1,3,2021,Canada,1639,Estados Unidos,2553
2021-03-31,NotMilk,937,1770,proteina de arveja,0,0.386,33,623052,0,2,3,2021,Canada,1639,Estados Unidos,2553
2021-04-01,NotMilk,1165,1770,proteina de arveja,0,0.364,37,622115,0,3,4,2021,Canada,1639,Estados Unidos,2553
2021-04-02,NotMilk,1075,1770,proteina de arveja,0,0.303,39,620950,0,4,4,2021,Canada,1639,Estados Unidos,2553
2021-04-03,NotMilk,1191,1770,proteina de arveja,0,0.343,35,619875,0,5,4,2021,Canada,1639,Estados Unidos,2553
2021-04-04,NotMilk,1047,1770,proteina de arveja,0,0.371,37,618684,0,6,4,2021,Canada,1639,Estados Unidos,2553
2021-04-05,NotMilk,923,1770,proteina de arveja,0,0.31,33,617637,0,0,4,2021,Canada,1639,Estados Unidos,2553
2021-04-06,NotMilk,942,1770,proteina de arveja,0,0.359,37,616714,0,1,4,2021,Canada,1639,Estados Unidos,2553
2021-04-07,NotMilk,973,1770,proteina de arveja,0,0.434,36,615772,0,2,4,2021,Canada,1639,Estados Unidos,2553
2021-04-08,NotMilk,1071,1770,proteina de arveja,0,0.478,36,614799,0,3,4,2021,Canada,1639,Estados Unidos,2553
2021-04-09,NotMilk,989,1770,proteina de arveja,0,0.391,35,613728,0,4,4,2021,Canada,1639,Estados Unidos,2553
2021-04-10,NotMilk,1042,1770,proteina de arveja,0,0.455,37,612739,0,5,4,2021,Canada,1639,Estados Unidos,2553
2021-04-11,NotMilk,1009,1770,proteina de arveja,0,0.326,37,611697,0,6,4,2021,Canada,1639,Estados Unidos,2553
2021-04-12,NotMilk,900,1770,proteina de arveja,0,0.46,35,610688,0,0,4,2021,Canada,1639,Estados Unidos,2553
2021-04-13,NotMilk,768,1770,proteina de arveja,0,0.391,36,609788,0,1,4,2021,Canada,1639,Estados Unidos,2553
2021-04-14,NotMilk,1083,1770,proteina de arveja,0,0.452,37,609020,0,2,4,2021,Canada,1639,Estados Unidos,2553
2021-04-15,NotMilk,1159,1770,proteina de arveja,0,0.429,35,607937,0,3,4,2021,Canada,1639,Estados Unidos,2553
2021-04-16,NotMilk,1180,1770,proteina de arveja,0,0.511,42,606778,0,4,4,2021,Canada,1639,Estados Unidos,2553
2021-04-17,NotMilk,1120,1770,proteina de arveja,0,0.406,35,605598,0,5,4,2021,Canada,1639,Estados Unidos,2553
2021-04-18,NotMilk,988,1770,proteina de arveja,0,0.485,36,604478,0,6,4,2021,Canada,1639,Estados Unidos,2553
2021-04-19,NotMilk,814,1770,proteina de arveja,0,0.444,35,603490,0,0,4,2021,Canada,1639,Estados Unidos,2553
2021-04-20,NotMilk,838,1770,proteina de arveja,0,0.454,41,602676,0,1,4,2021,Canada,1639,Estados Unidos,2553
2021-04-21,NotMilk,913,1770,proteina de arveja,0,0.456,39,601838,0,2,4,2021,Canada,1639,Estados Unidos,2553
2021-04-22,NotMilk,917,1770,proteina de arveja,0,0.427,35,600925,0,3,4,2021,Canada,1639,Estados Unidos,2553
2021-04-23,NotMilk,1554,1770,proteina de arveja,1,0.471,40,600008,0,4,4,2021,Canada,1639,Estados Unidos,2553
2021-04-24,NotMilk,1083,1770,proteina de arveja,0,0.472,38,598454,0,5,4,2021,Canada,1639,Estados Unidos,2553
2021-04-25,NotMilk,838,1770,proteina de arveja,0,0.49,38,597371,0,6,4,2021,Canada,1639,Estados Unidos,2553
2021-04-26,NotMilk,807,1770,proteina de arveja,0,0.485,37,596533,0,0,4,2021,Canada,1639,Estados Unidos,2553
2021-04-27,NotMilk,792,1770,proteina de arveja,0,0.524,37,595726,0,1,4,2021,Canada,1639,Estados Unidos,2553
2021-04-28,NotMilk,1013,1770,proteina de arveja,0,0.532,39,594934,0,2,4,2021,Canada,1639,Estados Unidos,2553
2021-04-29,NotMilk,1046,1770,proteina de arveja,0,0.436,36,593921,0,3,4,2021,Canada,1639,Estados Unidos,2553
2021-04-30,NotMilk,974,1770,proteina de arveja,0,0.534,42,592875,0,4,4,2021,Canada,1639,Estados Unidos,2553
2021-05-01,NotMilk,1120,1770,proteina de arveja,0,0.433,35,591901,0,5,5,2021,Canada,1639,Estados Unidos,2553
2021-05-02,NotMilk,852,1770,proteina de arveja,0,0.523,41,590781,0,6,5,2021,Canada,1639,Estados Unidos,2553
2021-05-03,NotMilk,926,1770,proteina de arveja,0,0.526,38,589929,0,0,5,2021,Canada,1639,Estados Unidos,2553
2021-05-04,NotMilk,775,1770,proteina de arveja,0,0.401,37,589003,0,1,5,2021,Canada,1639,Estados Unidos,2553
2021-05-05,NotMilk,858,1770,proteina de arveja,0,0.502,40,588228,0,2,5,2021,Canada,1639,Estados Unidos,2553
2021-05-06,NotMilk,1088,1770,proteina de arveja,0,0.475,36,587370,0,3,5,2021,Canada,1639,Estados Unidos,2553
2021-05-07,NotMilk,960,1770,proteina de arveja,0,0.461,39,586282,0,4,5,2021,Canada,1639,Estados Unidos,2553
2021-05-08,NotMilk,939,1770,proteina de arveja,0,0.567,33,585322,0,5,5,2021,Canada,1639,Estados Unidos,2553
2021-05-09,NotMilk,909,1770,proteina de arveja,0,0.467,36,584383,0,6,5,2021,Canada,1639,Estados Unidos,2553
2021-05-10,NotMilk,905,1770,proteina de arveja,0,0.46,36,583474,0,0,5,2021,Canada,1639,Estados Unidos,2553
2021-05-11,NotMilk,693,1770,proteina de arveja,0,0.504,36,582569,0,1,5,2021,Canada,1639,Estados Unidos,2553
2021-05-12,NotMilk,656,1770,proteina de arveja,0,0.534,38,581876,0,2,5,2021,Canada,1639,Estados Unidos,2553
2021-05-13,NotMilk,929,1770,proteina de arveja,0,0.492,39,581220,0,3,5,2021,Canada,1639,Estados Unidos,2553
2021-05-14,NotMilk,1095,1770,proteina de arveja,0,0.556,40,580291,0,4,5,2021,Canada,1639,Estados Unidos,2553
2021-05-15,NotMilk,1542,1770,proteina de arveja,1,0.524,39,579196,0,5,5,2021,Canada,1639,Estados Unidos,2553
2021-05-16,NotMilk,900,1770,proteina de arveja,0,0.387,35,577654,0,6,5,2021,Canada,1639,Estados Unidos,2553
2021-05-17,NotMilk,792,1770,proteina de arveja,0,0.468,38,576754,0,0,5,2021,Canada,1639,Estados Unidos,2553
2021-05-18,NotMilk,845,1770,proteina de arveja,0,0.465,38,575962,0,1,5,2021,Canada,1639,Estados Unidos,2553
2021-05-19,NotMilk,706,1770,proteina de arveja,0,0.515,40,575117,0,2,5,2021,Canada,1639,Estados Unidos,2553
2021-05-20,NotMilk,1202,1770,proteina de arveja,1,0.358,38,574411,0,3,5,2021,Canada,1639,Estados Unidos,2553
2021-05-21,NotMilk,1374,1770,proteina de arveja,1,0.614,39,573209,0,4,5,2021,Canada,1639,Estados Unidos,2553
2021-05-22,NotMilk,1051,1770,proteina de arveja,0,0.511,36,571835,0,5,5,2021,Canada,1639,Estados Unidos,2553
2021-05-23,NotMilk,878,1770,proteina de arveja,0,0.489,37,570784,0,6,5,2021,Canada,1639,Estados Unidos,2553
2021-05-24,NotMilk,803,1770,proteina de arveja,0,0.538,37,569906,0,0,5,2021,Canada,1639,Estados Unidos,2553
2021-05-25,NotMilk,606,1770,proteina de arveja,0,0.593,38,569103,0,1,5,2021,Canada,1639,Estados Unidos,2553
2021-05-26,NotMilk,770,1770,proteina de arveja,0,0.516,39,568497,0,2,5,2021,Canada,1639,Estados Unidos,2553
2021-05-27,NotMilk,957,1770,proteina de arveja,0,0.517,40,567727,0,3,5,2021,Canada,1639,Estados Unidos,2553
2021-05-28,NotMilk,926,1770,proteina de arveja,0,0.473,38,566770,0,4,5,2021,Canada,1639,Estados Unidos,2553
2021-05-29,NotMilk,997,1770,proteina de arveja,0,0.455,37,565844,0,5,5,2021,Canada,1639,Estados Unidos,2553
2021-05-30,NotMilk,927,1770,proteina de arveja,0,0.435,38,564847,0,6,5,2021,Canada,1639,Estados Unidos,2553
2021-05-31,NotMilk,762,1770,proteina de arveja,0,0.413,36,563920,0,0,5,2021,Canada,1639,Estados Unidos,2553
2021-06-01,NotMilk,750,1770,proteina de arveja,0,0.416,35,563158,0,1,6,2021,Canada,1639,Estados Unidos,2553
2021-06-02,NotMilk,733,1770,proteina de arveja,0,0.379,33,562408,0,2,6,2021,Canada,1639,Estados Unidos,2553
2021-06-03,NotMilk,888,1770,proteina de arveja,0,0.438,36,561675,0,3,6,2021,Canada,1639,Estados Unidos,2553
2021-06-04,NotMilk,1409,1770,proteina de arveja,1,0.353,37,560787,0,4,6,2021,Canada,1639,Estados Unidos,2553
2021-06-05,NotMilk,982,1770,proteina de arveja,0,0.442,36,559378,0,5,6,2021,Canada,1639,Estados Unidos,2553
2021-06-06,NotMilk,834,1770,proteina de arveja,0,0.426,37,558396,0,6,6,2021,Canada,1639,Estados Unidos,2553
2021-06-07,NotMilk,779,1770,proteina de arveja,0,0.43,38,557562,0,0,6,2021,Canada,1639,Estados Unidos,2553
2021-06-08,NotMilk,764,1770,proteina de arveja,0,0.392,38,556783,0,1,6,2021,Canada,1639,Estados Unidos,2553
2021-06-09,NotMilk,649,1770,proteina de arveja,0,0.567,37,556019,0,2,6,2021,Canada,1639,Estados Unidos,2553
2021-06-10,NotMilk,964,1770,proteina de arveja,0,0.475,40,555370,0,3,6,2021,Canada,1639,Estados Unidos,2553
2021-06-11,NotMilk,934,1770,proteina de arveja,0,0.34,38,554406,0,4,6,2021,Canada,1639,Estados Unidos,2553
2021-06-12,NotMilk,980,1770,proteina de arveja,0,0.408,35,553472,0,5,6,2021,Canada,1639,Estados Unidos,2553
2021-06-13,NotMilk,937,1770,proteina de arveja,0,0.361,35,552492,0,6,6,2021,Canada,1639,Estados Unidos,2553
2021-06-14,NotMilk,666,1770,proteina de arveja,0,0.335,38,551555,0,0,6,2021,Canada,1639,Estados Unidos,2553
2021-06-15,NotMilk,667,1770,proteina de arveja,0,0.313,35,550889,0,1,6,2021,Canada,1639,Estados Unidos,2553
2021-06-16,NotMilk,741,1770,proteina de arveja,0,0.396,32,550222,0,2,6,2021,Canada,1639,Estados Unidos,2553
2021-06-17,NotMilk,808,1770,proteina de arveja,0,0.334,33,549481,0,3,6,2021,Canada,1639,Estados Unidos,2553
2021-06-18,NotMilk,1068,1770,proteina de arveja,0,0.411,36,548673,0,4,6,2021,Canada,1639,Estados Unidos,2553
2021-06-19,NotMilk,863,1770,proteina de arveja,0,0.406,35,547605,0,5,6,2021,Canada,1639,Estados Unidos,2553
2021-06-20,NotMilk,798,1770,proteina de arveja,0,0.419,36,546742,0,6,6,2021,Canada,1639,Estados Unidos,2553
2021-06-21,NotMilk,743,1770,proteina de arveja,0,0.302,36,545944,0,0,6,2021,Canada,1639,Estados Unidos,2553
2021-06-22,NotMilk,624,1770,proteina de arveja,0,0.362,39,545201,0,1,6,2021,Canada,1639,Estados Unidos,2553
2021-06-23,NotMilk,718,1770,proteina de arveja,0,0.364,36,544577,0,2,6,2021,Canada,1639,Estados Unidos,2553
2021-06-24,NotMilk,865,1770,proteina de arveja,0,0.303,38,543859,0,3,6,2021,Canada,1639,Estados Unidos,2553
2021-06-25,NotMilk,893,1770,proteina de arveja,0,0.282,38,542994,0,4,6,2021,Canada,1639,Estados Unidos,2553
2021-06-26,NotMilk,899,1770,proteina de arveja,0,0.395,40,542101,0,5,6,2021,Canada,1639,Estados Unidos,2553
2021-06-27,NotMilk,782,1770,proteina de arveja,0,0.32,36,541202,0,6,6,2021,Canada,1639,Estados Unidos,2553
2021-06-28,NotMilk,786,1770,proteina de arveja,1,0.334,32,540420,0,0,6,2021,Canada,1639,Estados Unidos,2553
2021-06-29,NotMilk,693,1770,proteina de arveja,0,0.256,36,539634,0,1,6,2021,Canada,1639,Estados Unidos,2553
2021-06-30,NotMilk,827,1770,proteina de arveja,0,0.23,37,538941,0,2,6,2021,Canada,1639,Estados Unidos,2553
2021-07-01,NotMilk,826,1770,proteina de arveja,0,0.256,35,538114,0,3,7,2021,Canada,1639,Estados Unidos,2553
2021-07-02,NotMilk,1238,1770,proteina de arveja,1,0.273,39,537288,0,4,7,2021,Canada,1639,Estados Unidos,2553
2021-07-03,NotMilk,936,1770,proteina de arveja,0,0.22,36,536050,0,5,7,2021,Canada,1639,Estados Unidos,2553
2021-07-04,NotMilk,719,1770,proteina de arveja,0,0.267,36,535114,0,6,7,2021,Canada,1639,Estados Unidos,2553
2021-07-05,NotMilk,796,1770,proteina de arveja,0,0.177,36,534395,0,0,7,2021,Canada,1639,Estados Unidos,2553
2021-07-06,NotMilk,673,1770,proteina de arveja,0,0.2,35,533599,0,1,7,2021,Canada,1639,Estados Unidos,2553
2021-07-07,NotMilk,804,1770,proteina de arveja,0,0.284,30,532926,0,2,7,2021,Canada,1639,Estados Unidos,2553
2021-07-08,NotMilk,761,1770,proteina de arveja,0,0.276,34,532122,0,3,7,2021,Canada,1639,Estados Unidos,2553
2021-07-09,NotMilk,1007,1770,proteina de arveja,0,0.22,37,531361,0,4,7,2021,Canada,1639,Estados Unidos,2553
2021-07-10,NotMilk,923,1770,proteina de arveja,0,0.184,33,530354,0,5,7,2021,Canada,1639,Estados Unidos,2553
2021-07-11,NotMilk,819,1770,proteina de arveja,0,0.178,34,529431,0,6,7,2021,Canada,1639,Estados Unidos,2553
2021-07-12,NotMilk,700,1770,proteina de arveja,0,0.206,32,528612,0,0,7,2021,Canada,1639,Estados Unidos,2553
2021-07-13,NotMilk,636,1770,proteina de arveja,0,0.252,39,527912,0,1,7,2021,Canada,1639,Estados Unidos,2553
2021-07-14,NotMilk,764,1770,proteina de arveja,0,0.262,39,527276,0,2,7,2021,Canada,1639,Estados Unidos,2553
2021-07-15,NotMilk,802,1770,proteina de arveja,0,0.186,32,526512,0,3,7,2021,Canada,1639,Estados Unidos,2553
2021-07-16,NotMilk,728,1770,proteina de arveja,0,0.148,34,525710,0,4,7,2021,Canada,1639,Estados Unidos,2553
2021-07-17,NotMilk,777,1770,proteina de arveja,0,0.215,33,524982,0,5,7,2021,Canada,1639,Estados Unidos,2553
2021-07-18,NotMilk,759,1770,proteina de arveja,0,0.156,35,524205,0,6,7,2021,Canada,1639,Estados Unidos,2553
2021-07-19,NotMilk,692,1770,proteina de arveja,0,0.167,35,523446,0,0,7,2021,Canada,1639,Estados Unidos,2553
2021-07-20,NotMilk,635,1770,proteina de arveja,0,0.256,37,522754,0,1,7,2021,Canada,1639,Estados Unidos,2553
2021-07-21,NotMilk,752,1770,proteina de arveja,0,0.227,35,522119,0,2,7,2021,Canada,1639,Estados Unidos,2553
2021-07-22,NotMilk,658,1770,proteina de arveja,0,0.19,40,521367,0,3,7,2021,Canada,1639,Estados Unidos,2553
2021-07-23,NotMilk,859,1770,proteina de arveja,0,0.115,31,520709,0,4,7,2021,Canada,1639,Estados Unidos,2553
2021-07-24,NotMilk,718,1770,proteina de arveja,0,0.186,31,519850,0,5,7,2021,Canada,1639,Estados Unidos,2553
2021-07-25,NotMilk,804,1770,proteina de arveja,0,0.226,34,519132,0,6,7,2021,Canada,1639,Estados Unidos,2553
2021-07-26,NotMilk,660,1770,proteina de arveja,0,0.151,31,518328,0,0,7,2021,Canada,1639,Estados Unidos,2553
2021-07-27,NotMilk,650,1770,proteina de arveja,0,0.235,32,517668,0,1,7,2021,Canada,1639,Estados Unidos,2553
2021-07-28,NotMilk,629,1770,proteina de arveja,0,0.229,33,517018,0,2,7,2021,Canada,1639,Estados Unidos,2553
2021-07-29,NotMilk,848,1770,proteina de arveja,0,0.245,33,516389,0,3,7,2021,Canada,1639,Estados Unidos,2553
2021-07-30,NotMilk,907,1770,proteina de arveja,0,0.175,32,515541,0,4,7,2021,Canada,1639,Estados Unidos,2553
2021-07-31,NotMilk,867,1770,proteina de arveja,0,0.188,35,514634,0,5,7,2021,Canada,1639,Estados Unidos,2553
2021-08-01,NotMilk,741,1770,proteina de arveja,0,0.227,34,513767,0,6,8,2021,Canada,1639,Estados Unidos,2553
